rank,dataset,experiment,model,variant,added_dim,k_concepts,scorer,membership,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,n_seeds
6,pubmed,scaling_ext__pubmed_topk_t10_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.751,0.007797435475847178,0.749776,0.008269808317004693,5
7,pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.7396,0.010011992808627074,0.7392998000000001,0.009702370460871898,5
8,pubmed,scaling_ext__pubmed_qglobal_q075_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.7372,0.007984985911070846,0.7382342000000001,0.0083147855390263,5
9,pubmed,scaling_ext__pubmed_qglobal_q075_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.7336,0.0047159304490206585,0.7345112,0.005526704421262292,5
10,pubmed,scaling_ext__pubmed_topk_t10_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.731,0.007071067811865524,0.7305666000000001,0.006523503279680345,5
11,pubmed,pubmed_mlp_raw,mlp,raw,0,na,na,na,0.7256,0.008333066662399887,0.7252906,0.007363719076662279,5
12,pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,128.0,support,soft,0.6934,0.01578733669749264,0.6997533,0.009843587649327802,10
13,pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.6784000000000001,0.005678027826631343,0.6910828,0.00441791364333886,5
14,pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.6698000000000001,0.007467261881037796,0.6801796,0.0063632568265000675,5
15,pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.6616000000000001,0.003006659275674543,0.6753308,0.003618740908105995,5
