dataset,experiment,model,variant,added_dim,bucket,accuracy_mean,accuracy_std,macro_f1_mean
cora,cora_sage_svd_k64,graphsage,svd_control,64,medium,0.8511494252873563,0.011407720253608747,0.8471414326506828
cora,cora_sage_svd_k64,graphsage,svd_control,64,high,0.8444444444444444,0.013137258220037213,0.8415405460888209
cora,cora_sage_svd_k128,graphsage,svd_control,128,low,0.7605,0.00291547594742267,0.7406243179304983
cora,cora_sage_svd_k128,graphsage,svd_control,128,medium,0.8425287356321839,0.013029636837648965,0.8403509399303852
cora,cora_sage_svd_k128,graphsage,svd_control,128,high,0.85,0.0029695693545824823,0.8527746682841564
cora,cora_sage_fca_group,graphsage,fca_group,32,low,0.768,0.009669539802906845,0.7440876200645488
cora,cora_sage_fca_group,graphsage,fca_group,32,medium,0.8350574712643677,0.007178158618848702,0.8312749617396623
cora,cora_sage_fca_group,graphsage,fca_group,32,high,0.846031746031746,0.010163689265766435,0.8442509501216646
cora,cora_sage_svd_k32,graphsage,svd_control,32,low,0.7595,0.010770329614268954,0.7378867381017833
cora,cora_sage_svd_k32,graphsage,svd_control,32,medium,0.8385057471264368,0.0073599129165895305,0.834720002814543
cora,cora_sage_svd_k32,graphsage,svd_control,32,high,0.8436507936507937,0.008171135032529328,0.839349998732539
cora,cora_gcn_raw,gcn,raw,0,low,0.748,0.009539392014169439,0.7307206360341933
cora,cora_gcn_raw,gcn,raw,0,medium,0.8436781609195402,0.008045977011494258,0.8400353659806733
cora,cora_gcn_raw,gcn,raw,0,high,0.8523809523809524,0.005264483794214939,0.8485589789544331
cora,cora_sage_fca_k256_support_hard,graphsage,fca_feat,256,low,0.7495,0.011224972160321844,0.7287526066193251
cora,cora_sage_fca_k256_support_hard,graphsage,fca_feat,256,medium,0.839080459770115,0.00749333609793411,0.8332174521065621
cora,cora_sage_fca_k256_support_hard,graphsage,fca_feat,256,high,0.8476190476190476,0.0069188872119692905,0.8438030884439591
cora,cora_sage_fca_k128_support_soft,graphsage,fca_feat,128,low,0.756,0.006999999999999969,0.7345569480393385
cora,cora_sage_fca_k128_support_soft,graphsage,fca_feat,128,medium,0.8431034482758621,0.005917028816659213,0.8423151086930357
cora,cora_sage_fca_k128_support_soft,graphsage,fca_feat,128,high,0.8246031746031746,0.009187172145071622,0.8257865347477192
cora,cora_sage_fca_k128_lift_hard,graphsage,fca_feat,128,low,0.75,0.013038404810405286,0.7232277236924778
cora,cora_sage_fca_k128_lift_hard,graphsage,fca_feat,128,medium,0.8344827586206897,0.018408755606950558,0.8289249910859435
cora,cora_sage_fca_k128_lift_hard,graphsage,fca_feat,128,high,0.8452380952380952,0.013280317881493248,0.8403320010679092
cora,cora_sage_fca_k32_support_hard,graphsage,fca_feat,32,low,0.7445,0.00992471662063961,0.7197888455843462
cora,cora_sage_fca_k32_support_hard,graphsage,fca_feat,32,medium,0.835632183908046,0.0049438650960015075,0.8302477971568804
cora,cora_sage_fca_k32_support_hard,graphsage,fca_feat,32,high,0.8452380952380952,0.008323879747382202,0.8434127109230019
cora,cora_sage_fca_k128_support_hard,graphsage,fca_feat,128,low,0.7525000000000001,0.011180339887498954,0.7333251602215325
cora,cora_sage_fca_k128_support_hard,graphsage,fca_feat,128,medium,0.8385057471264368,0.0066527798291898055,0.8369825947882095
cora,cora_sage_fca_k128_support_hard,graphsage,fca_feat,128,high,0.8261904761904763,0.004627739599083622,0.8261048212249372
cora,cora_sage_raw,graphsage,raw,0,low,0.7535000000000001,0.008455767262643871,0.7323970694609057
cora,cora_sage_raw,graphsage,raw,0,medium,0.8304597701149425,0.01665675488067755,0.8261839283431552
cora,cora_sage_raw,graphsage,raw,0,high,0.834920634920635,0.006447649527488871,0.8330120168755304
