dataset,experiment,model,variant,added_dim,k_concepts,scorer,membership,test_accuracy_mean,test_macro_f1_mean,d_acc_vs_sage_raw,d_mf1_vs_sage_raw,d_acc_vs_mlp_raw,d_mf1_vs_mlp_raw,d_acc_vs_svd_kmatched,d_mf1_vs_svd_kmatched,svd_matched_added_dim
cora,cora_logreg_raw,logreg,raw,0,na,na,na,0.46980000000000005,0.46183959999999996,-0.331,-0.331108,-0.1018,-0.096151,,,
pubmed,pubmed_sage_raw,graphsage,raw,0,na,na,na,0.7658,0.7612908,0.0,0.0,0.0402,0.036,,,
pubmed,pubmed_sage_svd_k32,graphsage,svd_control,32,na,na,na,0.7658,0.7632142,0.0,0.001923,0.0402,0.037924,0.0,0.0,32.0
pubmed,pubmed_sage_svd_k64,graphsage,svd_control,64,na,na,na,0.763,0.7593862,-0.0028,-0.001905,0.0374,0.034096,0.0,0.0,64.0
pubmed,pubmed_sage_svd_k128,graphsage,svd_control,128,na,na,na,0.7615999999999999,0.7560498,-0.0042,-0.005241,0.036,0.030759,0.0,0.0,128.0
pubmed,pubmed_sage_svd_k256,graphsage,svd_control,256,na,na,na,0.7614,0.7561434,-0.0044,-0.005147,0.0358,0.030853,0.0,0.0,256.0
pubmed,scaling_ext__pubmed_topk_t10_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.751,0.749776,-0.0148,-0.011515,0.0254,0.024485,-0.0106,-0.006274,128.0
pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.7396,0.7392998000000001,-0.0262,-0.021991,0.014,0.014009,-0.0218,-0.016844,256.0
pubmed,scaling_ext__pubmed_qglobal_q075_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.7372,0.7382342000000001,-0.0286,-0.023057,0.0116,0.012944,-0.0244,-0.017816,128.0
pubmed,scaling_ext__pubmed_qglobal_q075_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.7336,0.7345112,-0.0322,-0.02678,0.008,0.009221,-0.028,-0.021539,128.0
pubmed,scaling_ext__pubmed_topk_t10_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.731,0.7305666000000001,-0.0348,-0.030724,0.0054,0.005276,-0.0306,-0.025483,128.0
pubmed,pubmed_mlp_raw,mlp,raw,0,na,na,na,0.7256,0.7252906,-0.0402,-0.036,0.0,0.0,,,
pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,128.0,support,soft,0.6934,0.6997533,-0.0724,-0.061538,-0.0322,-0.025537,-0.0682,-0.056296,128.0
pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.6784000000000001,0.6910828,-0.0874,-0.070208,-0.0472,-0.034208,-0.0832,-0.064967,128.0
pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.6698000000000001,0.6801796,-0.096,-0.081111,-0.0558,-0.045111,-0.096,-0.083035,32.0
pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.6616000000000001,0.6753308,-0.1042,-0.08596,-0.064,-0.04996,-0.1014,-0.084055,64.0
